fire_n_size,core_mean,core_sd,core_min,core_max
"1,000 x 1,000 ha",88775.48148598339,2990.9850145172545,83358.97406504066,97208.57674580844
"100 x 10,000 ha",154719.85332443882,10848.17448836961,126370.91038108968,181921.66058107145
"10 x 100,000 ha",154557.2591590653,18489.473886896194,113389.68630747587,198878.67092452093
