fire_n_size,patch_mean_mean,patch_mean_sd,patch_mean_min,patch_mean_max,patch_AW_mean_mean,patch_AW_mean_sd,patch_AW_mean_min,patch_AW_mean_max,patch_median_mean,patch_median_sd,patch_median_min,patch_median_max,patch_max_mean,patch_max_sd,patch_max_min,patch_max_max
"10 x 100,000 ha",63.18075494667672,23.757024004537893,28.23660345840342,167.44124242641558,11487.017049621825,4207.812409163004,4586.943324583821,21753.977337645934,3.42855274408224,0.4807020517905199,2.425590792707154,5.094973971072805,42456.840854163784,11043.176394820795,19419.085242635047,68171.84333007358
"100 x 10,000 ha",40.05565131307235,4.3075708219980875,30.497678882852178,54.42997095375438,1594.0724235006794,162.08165815909743,1194.30086696815,2008.102926293468,3.2797689957906155,0.1306327907429655,3.0114982289953374,3.6457988590662063,6657.6689234967635,568.6623342619162,5405.635241825077,8166.29793628051
"1,000 x 1,000 ha",15.950020190864521,0.39106153465488724,15.103413644830711,16.847203590527023,146.4578479727119,5.1557479636883885,131.63536357688824,158.13187689555906,3.4196855225596114,0.06884139942793568,3.274338216680809,3.5821643905660343,707.5294030867161,40.5530142979582,602.4266311802759,810.5473711309161
