Fire_ID,Fire_Name,Year,NW_Cascadia,Fire_Regime,prp_forest,fire_area,log_fire_area,HS_area,HS_prop,HS_forest_area,HS_forest_prop,patch_area_mean,patch_area_AW_mean,patch_area_gt1_mean,patch_area_gt1_AW_mean,log_patch_area_AW_mean,log_patch_area_gt1_AW_mean,beta,psi,n_patches,n_patches_gte1,total_core,log_total_core,SDC,log_SDC
WA4870412050919860802,EUREKA,1986,0,Low,0.5062384029688399,1406.6287753939196,3.148179497527101,479.88,0.34115610912737937,255.33,0.18151910757583933,9.40941176470588,229.8723218304576,20.38695652173913,235.2425527831094,2.36148668244829,2.3715158835917687,1.7036063415110414,-0.00640604570799737,51,23,111.24,2.0466512169709197,0.00253743538904136,-2.5956050074196386
OR4454311774919860802,DARK CANYON,1986,0,Low,0.6010749237927162,1121.738955544516,3.0498918022348107,289.17,0.25778724949391696,183.6,0.16367444412312188,8.505,44.56422969187675,16.549411764705884,45.78840690978888,1.6489864039938993,1.6607555336276394,1.301423048655718,0.03871616545953144,34,17,11.07,1.048053173115609,0.00636516650604461,-2.196190231175988
OR4465011815119860802,HUCKLEBERRY,1986,0,Low,0.8599380941852752,3258.0437835436346,3.5129569163210577,1016.55,0.3120123815200366,767.79,0.2356598164451024,18.15267857142857,324.26469322709164,38.568461538461534,328.7099192245557,2.5108996641481656,2.5168128096474627,1.2146574312714569,0.04309287371638463,56,26,156.69,2.1953183601130135,0.00429133895416595,-2.3674071810836974
OR4457711806919860802,SUNFLOWER,1986,0,Low,0.5776141146001942,3335.997870925395,3.5232257647937444,1032.3,0.3094426435331157,563.67,0.16896593517418515,11.47,228.955935483871,23.04818181818182,233.05059105431312,2.3597519067170873,2.3674502087116474,1.4321027653069884,0.03198174567151029,90,44,100.89,2.0042783722001625,0.00457711874740341,-2.3394078202200546
OR4495911830019860803,CLEAR,1986,0,Mixed,0.756137363417057,2539.012226573783,3.404664792217063,1441.89,0.5678940750693936,974.16,0.3836767660290316,35.16804878048781,1259.6289838337184,84.13941176470588,1269.7687403259297,3.100242645116482,3.1037246312348983,1.8119538869487508,-0.03946890070316495,41,17,162.36,2.210746448898326,0.00483161821714807,-2.315907389936698
OR4301612221819860803,SPHAGNUM,1986,0,Mixed,0.9659195578753454,586.3360833435207,2.7681466216532886,29.43,0.05019305622839801,21.06,0.03591796684233986,2.4525,8.076605504587155,5.4719999999999995,8.658355263157894,0.907228870628631,0.9374354014891176,NA,NA,12,5,0,-1,0.01182895646320119,-1.927053566636929
ID4610711507519860810,BEAR WALLOW,1986,0,Low,0.5404328463161184,1151.9216333384625,3.061422934498357,1.62,0.00140634566893666,1.62,0.00140634566893666,1.62,1.62,1.62,1.62,0.20951501454263097,0.20951501454263097,NA,NA,1,1,0,-1,0.0181026289501038,-1.7422583502349642
ID4608011507219860810,MINK CREEK,1986,0,Mixed,0.7856068743286788,838.4189944217497,2.923461108713017,17.01,0.02028818539796042,13.32,0.01588704465025471,1.134,2.7547619047619047,3.75,3.85416,0.4400840685538491,0.5859297398147001,NA,NA,15,3,0,-1,0.01676232291277847,-1.7756657972632008
ID4413811587319860810,WEST ANDERSON,1986,0,Low,0.8206703405908393,7969.93580497532,3.901454823321173,367.65,0.04612960618459316,309.06,0.03877822953191993,2.7852272727272727,29.696276621787028,7.207826086956522,32.8671986970684,1.4727020000248991,1.5167626903228948,1.4589516025692846,0.08770289465727954,132,46,12.51,1.1007150865730817,0.00824339958105001,-2.0838936481559167
OR4480811872419860810,JUMPOFF,1986,0,Mixed,0.9688847812692544,585.1510187819005,2.767267965500041,136.35,0.23301676938688,131.49,0.2247112211711101,6.197727272727272,38.4789504950495,11.994545454545454,39.74733969986357,1.585223218240398,1.5993080665187114,1.3817238810066623,0.04654340476542552,22,11,10.17,1.011570443597278,0.0066597030859266,-2.1765451328444323
ID4594911650919860810,ROUND SPRINGS,1986,0,Low,0.5524890146270992,2989.064649684117,3.4755353083806764,34.02,0.01138148684860169,14.22,0.00475734106370123,0.972,2.255714285714286,2.16,3.000681818181818,0.35328408999403743,0.4772199467964201,0.7433978424433144,0.9271389851444364,35,11,0,-1,0.01744599737059231,-1.7583041973157292
ID4608611503819860811,UNNAMED,1986,0,Mixed,0.7478042659974906,501.0820096416866,2.6999088105381293,0.81,0.00161650185880593,0.81,0.00161650185880593,0.81,0.81,NA,NA,-0.09151498112135022,NA,NA,NA,1,0,0,-1,0.03214530011490257,-1.492882515224074
ID4443611536119860811,TENNESSEE CREEK,1986,0,High,0.7649342247142549,417.6216264054291,2.620782980380581,131.31,0.3144233720131237,101.97,0.2441683896441872,13.131,60.666106922549695,21.585,61.50064628214039,1.782946126206576,1.7888796796013122,NA,NA,10,6,13.32,1.127752515832973,0.00520752865122379,-2.283368331935346
ID4529711522619860811,HAND MEADOWS,1986,0,High,0.8886346609431632,4445.381217636961,3.647909010214451,2630.7000000000003,0.5917827675976923,2399.49,0.5397714802231294,62.635714285714286,1529.8226910708177,145.535,1536.2846789432097,3.1846410983000664,3.18647169944451,2.375490208344008,-0.1263376178595489,42,18,1038.24,3.0163395846741627,0.00253585677573643,-2.5958752788912
ID4542511501619860811,MULE CRK POINT,1986,0,Low,0.6732939279957012,502.6049421328589,2.701226754711147,0.36,7.162683249239466e-4,0.09,1.7906708123098666e-4,0.36,0.36,NA,NA,-0.44369749923271273,NA,NA,NA,1,0,0,-1,NA,NA
OR4479211863419860811,LOST LAKE,1986,0,Mixed,0.8763572957121344,1134.991487749906,3.054992604403937,482.13,0.4247873267805835,413.46,0.3642846703808103,14.61,374.70333208885575,33.917142857142856,380.4481842304776,2.573687555120403,2.580295515679136,1.8744745327516168,-0.04200244314113496,33,14,55.26,1.7431960814487013,0.00534329593418056,-2.272190772097742
OR4491011846319860811,CRANE CREEK,1986,0,Low,0.9760548742465184,2165.965155285281,3.335651465683092,366.57,0.16924094974728196,361.53,0.166914042507938,5.0912500000000005,31.95724772894673,10.038857142857143,33.31618340163935,1.5045693692777102,1.5226552441589802,0.9354927623075237,0.14509899553313277,72,35,20.16,1.3066394410242617,0.00753908662989588,-2.1226812662819268
OR4565411717319860811,ROBERTS BUTTE,1986,0,Low,0.7288635884461312,426.0105977166716,2.629420403029064,1.17,0.00274641055004489,0.72,0.00169009880002762,0.585,0.8653846153846153,NA,NA,-0.06279082985945551,NA,NA,NA,2,0,0,-1,0.03052367640477908,-1.5153631592442982
OR4579011748219860811,MIDDLE POINT,1986,0,Low,0.6162529962112425,1166.0066654938869,3.0667010330807485,57.51,0.04932218803023773,52.38,0.04492255623411324,2.6140909090909092,8.779295774647888,5.8500000000000005,9.532769230769231,0.943459680661167,0.9792190797507204,NA,NA,22,9,0.99,0.03742649794062366,0.01002073245333725,-1.9991005330778795
ID4535711661519860811,LITTLE GRANITE,1986,0,Low,0.5914191953976421,4441.196070494,3.647499946885435,332.1,0.07477715343539429,232.38,0.05232374259354689,3.1330188679245285,32.99107317073171,8.017105263157895,35.91366912850813,1.5183964429944612,1.5552597771913044,1.2779492283847795,0.11196164310762254,106,38,4.59,0.6711728427150833,0.00827152727684337,-2.08241429375265
ID4543811494219860812,DEVILS TEETH,1986,0,Low,0.673747667575714,3135.6302482277097,3.496324845268195,264.24,0.0842701399979641,239.85,0.07649179941913294,5.7443478260869565,26.780211171662124,11.050434782608695,27.818604815864024,1.4278139972587387,1.4443353450677607,0.5238702446246122,0.21308338454239625,46,23,17.28,1.2400497721126478,0.00645393912180984,-2.1901751354903336
OR4558711675719860812,PUMPKIN CREEK,1986,0,Low,0.621911182998895,5619.024936413174,3.749660959434749,99.54,0.01771481727282384,96.84,0.01723430685855195,2.4278048780487804,13.634104882459312,6.084,14.834201183431952,1.134626630552721,1.1712641646759012,0.638312158413501,0.281199330770323,41,15,0,-1,0.01148445861467007,-1.9398894729289604
ID4698311596819860819,MARY MIX II,1986,0,Mixed,0.7986657543619569,526.0196023983464,2.721001928668582,46.44,0.08828568324879976,35.19,0.06689864757806338,4.644,18.03,8.874,18.83847870182556,1.255995726722402,1.2750458284951398,NA,NA,10,5,0,-1,0.00902887363164127,-2.044366425331487
OR4428112255619870508,87791147,1987,0,High,0.9322429906542056,424.19386683501733,2.6275643850222115,142.56,0.3360727515078529,133.92,0.31570470596192235,12.96,33.67545454545454,28.314,33.90951684678957,1.5273134664663044,1.53032160186101,NA,NA,11,5,9.27,0.9717395908877784,0.00653859945171777,-2.1845152662825615
OR4214312293119870715,CANTRALL,1987,0,Low,0.8477673161182064,965.1953238413312,2.9846152091807747,388.71,0.40272677498373394,329.13,0.34099833667874857,17.668636363636363,282.8039013660569,27.437142857142856,286.175328022493,2.451485396390998,2.4566321892925327,2.018704578788726,-0.0657953210968847,22,14,63.27,1.8018837071252396,0.0045025182304319,-2.3465445200720163
OR4291712307519870715,BLAND MTN,1987,0,Low,0.8708388520971302,4076.1037289512874,3.610245227429077,1657.17,0.4065573670830898,1592.37,0.39065983249883823,24.733880597014927,490.78809482430887,48.22941176470588,495.9799132821076,2.690894019387449,2.6954640883301457,1.2253056242225753,0.04766693379772791,67,34,507.87,2.7058380642146633,0.00312385350582656,-2.50530934070476
ID4448411541019870804,DEADWOOD,1987,0,High,0.6808572843048208,23087.615729097048,4.363379085400426,6121.8,0.2651551408266367,4133.43,0.17903234567399212,12.96991525423729,2103.4762766833283,26.602168141592923,2141.849975748866,3.322937618343212,3.330789047734762,1.425454173745435,0.05678027592681332,472,226,1462.5,3.1651255690882287,0.00270844273242834,-2.5672803427436786
WY4413411069519870807,POLECAT,1987,0,High,0.6939480097481722,439.8565619065905,2.6433110752850113,128.43,0.2919815483559248,77.4,0.17596645521099885,6.4215,34.59109320252277,13.63,36.18653705062362,1.5389642874934282,1.5585470243415684,NA,NA,20,9,2.43,0.403120521175818,0.00670212266314125,-2.1737876279125827
